category,description
abseiling,"abseiling, using a rope and harness for safety., using a rope and harness for safety"
air_drumming,"air_drumming, holding a drumstick, with a drum set in the background."
answering_questions,"answering_questions, wearing glasses, A man in a suit speaks into a microphone"
applauding,"applauding, clapping and celebrating, A soccer match is taking place in a stadium"
applying_cream,"applying_cream, A woman applies cream to her face in front of a mirror, A woman applies cream to her face"
archery,"archery, holding a bow and arrow, preparing to shoot."
arm_wrestling,"arm_wrestling, Two men engage in an arm-wrestling match, Two men compete in an arm-wrestling match"
arranging_flowers,"arranging_flowers, preparing to arrange them in a vase., on a table."
baking_cookies,"baking_cookies, ready to be placed in the oven., ready to be baked."
balloon_blowing,"balloon_blowing, preparing to release it., surrounded by other balloons."
bartending,"bartending, surrounded by various bottles and glasses., A bartender pours a drink from a shaker into a glass"
baby_waking_up,"baby_waking_up, A baby, A baby sleeps peacefully on a bed"
bench_pressing,"bench_pressing, A man lifts a barbell in a gym, Two men perform bench presses in a gym"
assembling_computer,"assembling_computer, A person disassembles a computer, A person is working on a computer"
auctioning,"auctioning, possibly for an auction., A group of people gather in a room"
bending_back,"bending_back, A man lifts a barbell in a gym, in a living room."
bandaging,"bandaging, possibly a nurse, likely in a medical setting."
barbequing,"barbequing, using tongs to flip the food., using tongs to flip them."
blasting_sand,"blasting_sand, creating a cloud of dust., possibly a sandblaster"
belly_dancing,"belly_dancing, A belly dancer performs on stage, A belly dancer performs in a dimly lit room"
beatboxing,"beatboxing, is captured in a close-up shot, A man in a black shirt"
bee_keeping,"bee_keeping, using a smoker to calm the bees., surrounded by a lush green field."
bending_metal,"bending_metal, using a vice to hold it in place., A person operates a metal machine"
bobsledding,"bobsledding, Two bobsled racers, A bobsled racer"
blowing_leaves,"blowing_leaves, surrounded by fallen leaves, using a leaf blower to clear the area."
bowling,"bowling, in a bowling alley., holding a bowling ball"
bookbinding,"bookbinding, preparing to bind a book., possibly for bookbinding."
blowing_out_candles,"blowing_out_candles, A young girl blows out candles on a birthday cake, surrounded by family members."
breading_or_breadcrumbing,"breading_or_breadcrumbing, A person prepares food, possibly breadcrumbs"
biking_through_snow,"biking_through_snow, leaving a trail of snow behind., leaving tire tracks in the snow."
blowing_nose,"blowing_nose, possibly due to a cold or allergies., holding a white object"
busking,"busking, surrounded by a crowd of people, A man plays guitar on a city street"
blowing_glass,"blowing_glass, creating a glowing, in a workshop setting."
brushing_teeth,"brushing_teeth, A baby, A young child"
breakdancing,"breakdancing, surrounded by a crowd of spectators., surrounded by a crowd of spectators"
brush_painting,"brush_painting, using a brush and a palette of colors, using a brush"
bouncing_on_trampoline,"bouncing_on_trampoline, A person jumps on a trampoline in a backyard, A person jumps on a blue trampoline in a backyard"
capoeira,"capoeira, surrounded by a crowd of spectators., a Brazilian martial art"
brushing_hair,"brushing_hair, captured in a close-up shot., wearing a white shirt"
building_cabinet,"building_cabinet, surrounded by tools and equipment., in a workshop setting."
cartwheeling,"cartwheeling, surrounded by trees., Two people perform a cartwheel in a grassy field"
